episode,total_steps,episode_reward,clipped_episode_reward,consecutive_clipped_over_20,max_consecutive_clipped_over_20,avg_clip50,duration,exploration_rate
0,177,150.0,15.0,0,0,15.0,0.4589712619781494,0.9999413920000002
1,338,260.0,26.0,1,1,20.5,0.4083094596862793,0.9998877789999999
2,445,70.0,7.0,0,1,16.0,0.28941941261291504,0.9998521479999998
3,604,125.0,12.5,0,1,15.125,0.39794111251831055,0.999799201
4,680,5.0,0.5,0,1,12.2,0.20763087272644043,0.999773893
5,868,135.0,13.5,0,1,12.416666666666666,0.4721982479095459,0.9997112890000001
6,1045,180.0,18.0,0,1,13.214285714285714,0.44996070861816406,0.999652348
7,1156,50.0,5.0,0,1,12.1875,0.2972147464752197,0.9996153849999998
8,1304,95.0,9.5,0,1,11.88888888888889,0.37581729888916016,0.9995661009999999
9,1442,85.0,8.5,0,1,11.55,0.36063575744628906,0.999520147
10,1573,15.0,1.5,0,1,10.636363636363637,0.3345510959625244,0.9994765240000001
11,1682,30.0,3.0,0,1,10.0,0.28812575340270996,0.999440227
12,1930,260.0,26.0,1,1,11.23076923076923,0.582240104675293,0.9993576429999999
13,2086,210.0,21.0,2,2,11.928571428571429,0.38826775550842285,0.9993056950000002
14,2247,165.0,16.5,0,2,12.233333333333333,0.3997182846069336,0.9992520819999999
15,2326,50.0,5.0,0,2,11.78125,0.20808625221252441,0.9992257750000001
16,2484,120.0,12.0,0,2,11.794117647058824,0.3996269702911377,0.9991731610000001
17,2602,120.0,12.0,0,2,11.805555555555555,0.3027055263519287,0.9991338670000001
18,2745,125.0,12.5,0,2,11.842105263157896,0.37143969535827637,0.999086248
19,2883,45.0,4.5,0,2,11.475,0.34959888458251953,0.9990402940000002
20,3120,215.0,21.5,1,2,11.952380952380953,0.5773875713348389,0.9989613729999999
21,3232,55.0,5.5,0,2,11.659090909090908,0.29581284523010254,0.998924077
22,3383,145.0,14.5,0,2,11.782608695652174,0.3795738220214844,0.9988737940000002
23,3781,425.0,42.5,1,2,13.0625,0.9084742069244385,0.9987412600000001
24,4011,190.0,19.0,0,2,13.3,0.5483875274658203,0.99866467
25,4140,35.0,3.5,0,2,12.923076923076923,0.33127570152282715,0.9986217130000001
26,4407,340.0,34.0,1,2,13.703703703703704,0.625420331954956,0.9985328019999999
27,4552,80.0,8.0,0,2,13.5,0.3674306869506836,0.9984845169999998
28,4662,35.0,3.5,0,2,13.155172413793103,0.2802004814147949,0.9984478869999999
29,4754,20.0,2.0,0,2,12.783333333333333,0.23615765571594238,0.9984172510000001
0,167,70.0,7.0,0,0,7.0,0.4292261600494385,0.9999447219999998
1,353,85.0,8.5,0,0,7.75,0.4672689437866211,0.999882784
2,467,50.0,5.0,0,0,6.833333333333333,0.2975351810455322,0.999844822
3,610,80.0,8.0,0,0,7.125,0.3587532043457031,0.9997972029999999
4,861,190.0,19.0,0,0,9.5,0.5901706218719482,0.9997136199999999
5,1086,75.0,7.5,0,0,9.166666666666666,0.5459835529327393,0.9996386950000001
6,1291,255.0,25.5,1,1,11.5,0.4993405342102051,0.9995704299999999
7,1392,125.0,12.5,0,1,11.625,0.2651791572570801,0.9995367970000002
8,1559,100.0,10.0,0,1,11.444444444444445,0.411252498626709,0.9994811859999999
9,1746,125.0,12.5,0,1,11.55,0.46382761001586914,0.9994189150000001
10,1856,25.0,2.5,0,1,10.727272727272727,0.2852346897125244,0.9993822850000001
11,2059,150.0,15.0,0,1,11.083333333333334,0.4992554187774658,0.9993146859999998
12,2210,130.0,13.0,0,1,11.23076923076923,0.3825240135192871,0.9992644030000001
13,2352,90.0,9.0,0,1,11.071428571428571,0.37027430534362793,0.9992171169999998
14,2465,50.0,5.0,0,1,10.666666666666666,0.30196285247802734,0.9991794880000001
15,2573,75.0,7.5,0,1,10.46875,0.2795071601867676,0.9991435240000002
16,2735,65.0,6.5,0,1,10.235294117647058,0.41904330253601074,0.9990895780000001
17,2813,60.0,6.0,0,1,10.0,0.23293519020080566,0.999063604
18,3062,420.0,42.0,1,1,11.68421052631579,0.5977842807769775,0.9989806870000001
19,3276,155.0,15.5,0,1,11.875,0.5278763771057129,0.9989094249999999
20,3451,125.0,12.5,0,1,11.904761904761905,0.4241049289703369,0.9988511499999999
21,3728,395.0,39.5,1,1,13.159090909090908,0.6655964851379395,0.998758909
22,3846,40.0,4.0,0,1,12.76086956521739,0.30881690979003906,0.998719615
23,3968,55.0,5.5,0,1,12.458333333333334,0.30830860137939453,0.998678989
24,4113,90.0,9.0,0,1,12.32,0.37996697425842285,0.9986307040000002
25,4265,105.0,10.5,0,1,12.25,0.37821388244628906,0.9985800879999999
